drops
"150,122"
"150,144"
"150,275"
"150,551"
"150,072"
"150,293"
"150,703"
"150,892"
"150,851"
"150,765"
"150,516"
"150,529"
"151,312"
"150,526"
"151,124"
"150,875"
"150,096"
"150,144"
"150,101"
"150,397"
"150,305"
"150,137"
"150,579"
"150,003"
"149,757"
"150,011"
"150,317"
"150,065"
"149,887"
"151,204"
"150,111"
"149,938"
"150,877"
"149,885"
"150,693"
"149,934"
"150,358"
"150,141"
"149,927"
"151,172"
"149,829"
"150,866"
"150,49"
"150,987"
"149,839"
"150,851"
"150,342"
"150,131"
"149,818"
"150,223"
"150,143"
"150,924"
"150,979"
"150,754"
"150,473"
"149,907"
"150,875"
"150,091"
"150,306"
"149,129"
"150,088"
"150,16"
"150,13"
"150,295"
"150,157"
"149,702"
"149,866"
"150,213"
"150,064"
"150,651"
"149,756"
"151,348"
"150,741"
"150,929"
"151,014"
"150,222"
"150,477"
"150,366"
"150,153"
"149,945"
"150,408"
"150,66"
"150,535"
"149,979"
"150,406"
"149,726"
"150,306"
"150,228"
"151,036"
"150,893"
"150,834"
"151,263"
"150,684"
"150,532"
"151,503"
"150,91"
"150,591"
"150,684"
"150,675"
"150,415"
"150,604"
"150,445"
"150,49"
"150,377"
"150,923"
"150,633"
"150,73"
"150,661"
"150,652"
"150,897"
"150,567"
"150,772"
"150,979"
"150,517"
"150,654"
"150,256"
"150,572"
"151,039"
"151,52"
"150,833"
"151,338"
"150,937"
"151,407"
"152,506"
"151,454"
"150,932"
"151,224"
"151,393"
"151,195"
"151,526"
"150,942"
"151,581"
"150,908"
"150,91"
"151,304"
"150,849"
"150,033"
151
"150,982"
"150,987"
"151,727"
"151,127"
"150,909"
"151,203"
"151,348"
"151,379"
"152,832"
"149,859"
"150,048"
"151,185"
"159,943"
"150,382"
"149,977"
"149,945"
"150,004"
"150,003"
"150,057"
"149,92"
"149,982"
"149,959"
"150,022"
"149,904"
"150,314"
"150,365"
"150,052"
"150,106"
"150,178"
"150,083"
"150,105"
"150,194"
"149,992"
"150,012"
"150,3"
"150,001"
"149,8"
"149,953"
